#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
963.053316,307,119.485334
760.13188,243,119.652844
1056.213274,354,120.093947
414.764836,139,120.188914
670.547132,207,120.328734
1188.950375,382,120.588091
1275.642737,500,120.927399
1414.438744,500,121.266057
590.158304,188,121.393339
1542.024402,500,121.924562
996.771092,312,122.134974
1538.667512,500,122.472009
935.409607,306,122.678234
1110.797862,382,122.936832
1224.347276,421,123.415121
1217.491052,392,123.680389
907.659248,284,123.871594
1466.79534,454,124.177587
1180.953097,395,124.444057
933.450209,299,124.839925
908.64025,304,125.045284
920.029088,288,125.23877
1192.8558,387,125.499811
1042.190789,320,125.715331
1294.781973,407,125.989434
985.453639,302,126.194158
962.736324,329,126.611135
1132.942117,364,126.857281
764.213746,259,127.032885
903.541694,279,127.221336
1506.391778,478,127.545643
1389.822401,442,128.038951
930.877374,280,128.227558
1081.402855,343,128.45924
1298.496051,426,128.745926
1247.815813,417,129.025718
672.818348,241,129.188472
1392.173848,434,129.674728
1332.75258,441,129.972053
1238.085675,406,130.244641
237.611337,108,130.317565
1492.673624,500,130.656565
832.77017,323,130.903061
1182.492584,370,131.354437
1514.474846,491,131.712501
1445.583716,500,132.051002
1545.902157,500,132.387845
1505.322783,500,132.919579
1468.523287,451,133.248967
1078.394009,338,133.478129
1297.088056,421,133.763312
1389.63609,500,134.107085
869.754937,280,134.492021
1121.083056,346,134.724879
862.359977,252,134.896615
1176.243897,352,135.139667
1305.987985,410,135.44196
1526.185766,500,135.785763
1056.095419,317,136.268195
1401.741112,433,136.589714
1057.55979,325,136.896304
1402.482785,500,137.253223
975.122791,304,137.479644
1520.916801,500,138.013649
1571.75813,479,138.340978
1587.158535,462,138.656415
1474.630023,500,139.028393
991.369408,309,139.542115
1196.483051,364,139.788027
1442.580983,500,140.136781
1169.844032,368,140.403272
1373.769288,443,140.701943
1437.96671,500,141.23147
1042.054501,305,141.437278
832.815669,257,141.609476
1143.137464,360,141.850734
1554.667644,500,142.186398
1164.292632,367,142.433171
1529.615446,500,142.960722
1177.093676,378,143.214889
1405.920646,456,143.520511
1174.412524,341,143.749583
933.026653,279,143.936651
1122.61485,354,144.367416
1488.610358,482,144.691645
1670.423436,500,145.027579
1571.107496,500,145.364059
1560.11425,500,145.891415
1394.555233,437,146.185284
1023.46539,304,146.389104
1264.232306,385,146.647355
1174.316755,362,146.890123
953.791567,282,147.079058
899.284178,270,147.452775
1437.292613,454,147.758688
1158.61086,343,147.988939
1202.295268,364,148.233459
1279.946286,381,148.489668
1056.648747,317,148.703145
895.060879,275,149.080345
1344.930399,404,149.353166
1180.475068,378,149.608348
1411.079398,449,149.911348
907.522498,259,150.085979
1475.414226,458,150.585587
1099.20709,326,150.80652
1571.588331,500,151.143852
1494.923463,500,151.530387
1200.095687,368,151.780019
1336.123346,402,152.328803
1361.78324,430,152.641322
1437.37167,429,152.939239
1401.049303,500,153.27731
1427.232612,500,153.64115
1392.924569,436,154.136372
1503.350596,500,154.477353
1103.798082,326,154.700977
1286.048458,391,154.969629
771.350573,232,155.145555
